plant_disease_name,causes,recommendations,predicted_score,uploaded_image_path,uploaded_time,detected_time
Halo Blight,Nutrient Deficiency,Apply neem oil,0.75,/user/user/document/image_253.jpg,2023-04-22 22:33:27,2024-05-12 19:30:30
Cercospora Leaf Spot,Chemical Damage,Adjust watering schedule,0.6,/user/user/document/image_656.jpg,2023-02-02 04:19:03,2023-08-04 04:05:57
Nematode Damage,Bacterial Infection,Improve soil drainage,0.59,/user/user/document/image_513.jpg,2022-03-24 16:40:47,2022-04-17 08:08:36
Scab,Viral Infection,Improve soil drainage,0.87,/user/user/document/image_714.jpg,2022-04-30 03:43:00,2024-03-11 10:25:48
Bacterial Spot,Nutrient Deficiency,Apply bactericide,0.71,/user/user/document/image_475.jpg,2023-02-05 03:18:39,2024-02-21 01:47:22
Citrus Canker,Nutrient Deficiency,Use fungicide,0.87,/user/user/document/image_788.jpg,2023-06-22 19:49:03,2024-01-19 10:36:14
Spinach Downy Mildew,Poor Drainage,Use resistant varieties,0.7,/user/user/document/image_626.jpg,2024-01-18 23:41:15,2023-04-05 15:55:41
Fire Blight,Pests,Use proper sanitation practices,0.67,/user/user/document/image_246.jpg,2022-12-14 08:56:07,2023-05-09 10:58:54
Late Blight,Fungal Infection,Control pests,0.65,/user/user/document/image_15.jpg,2022-10-06 19:19:36,2022-04-20 09:59:06
Wheat Leaf Rust,Viral Infection,Control pests,0.85,/user/user/document/image_756.jpg,2022-01-11 15:25:03,2022-08-05 05:45:03
Peach Leaf Curl,Fungal Infection,Remove infected leaves,0.83,/user/user/document/image_232.jpg,2024-03-16 04:52:53,2023-11-05 02:56:13
Fire Blight,Viral Infection,Apply bactericide,0.63,/user/user/document/image_260.jpg,2022-03-26 19:07:38,2024-04-15 03:39:08
White Mold,Poor Drainage,Adjust watering schedule,0.51,/user/user/document/image_704.jpg,2023-08-14 01:32:40,2022-06-30 10:39:03
Fire Blight,Nutrient Deficiency,Use resistant varieties,0.55,/user/user/document/image_787.jpg,2022-03-16 10:44:33,2023-06-29 01:55:18
Lettuce Drop,Pests,Use resistant varieties,0.93,/user/user/document/image_993.jpg,2022-08-23 15:37:12,2023-06-14 04:46:17
Bacterial Blight,Viral Infection,Control pests,0.54,/user/user/document/image_158.jpg,2022-03-02 19:11:36,2023-01-19 09:24:49
Bacterial Speck,Chemical Damage,Apply bactericide,0.51,/user/user/document/image_950.jpg,2022-08-03 04:22:54,2023-01-17 13:57:33
Phomopsis Blight,Chemical Damage,Adjust watering schedule,0.52,/user/user/document/image_937.jpg,2022-12-26 23:45:51,2024-02-07 13:51:59
Verticillium Wilt,Nutrient Deficiency,Apply neem oil,0.74,/user/user/document/image_772.jpg,2023-01-10 21:29:04,2024-04-08 03:08:14
Fusarium Wilt,Bacterial Infection,Provide adequate nutrition,0.85,/user/user/document/image_227.jpg,2022-10-19 19:32:20,2022-07-16 01:24:46
Root Knot Nematode,Chemical Damage,Improve soil drainage,0.54,/user/user/document/image_914.jpg,2023-12-24 17:11:28,2023-10-16 05:29:37
Rice Blast,Bacterial Infection,Apply bactericide,0.68,/user/user/document/image_343.jpg,2022-09-01 20:42:17,2023-11-30 08:01:17
Black Rot,Poor Drainage,Use proper sanitation practices,0.93,/user/user/document/image_888.jpg,2024-02-06 18:33:03,2023-11-27 03:53:24
Stem Rot,Poor Drainage,Remove infected leaves,0.62,/user/user/document/image_159.jpg,2023-02-16 19:15:47,2023-05-15 09:30:28
Anthracnose,Poor Drainage,Remove infected leaves,0.74,/user/user/document/image_633.jpg,2024-01-05 08:07:25,2023-10-09 11:20:30
Alternaria Leaf Spot,Bacterial Infection,Apply neem oil,0.62,/user/user/document/image_77.jpg,2022-12-10 09:18:17,2022-03-28 03:34:15
Zinc Deficiency,Environmental Stress,Remove infected leaves,0.51,/user/user/document/image_97.jpg,2023-07-10 12:58:33,2023-03-11 17:38:32
Leaf Curl,Pests,Provide adequate nutrition,0.63,/user/user/document/image_637.jpg,2024-04-17 20:56:38,2024-01-20 04:35:42
Rice Blast,Bacterial Infection,Use proper sanitation practices,0.55,/user/user/document/image_95.jpg,2023-06-06 01:18:47,2022-12-20 01:41:04
Tobacco Mosaic Virus,Pests,Improve soil drainage,0.98,/user/user/document/image_617.jpg,2023-06-03 06:56:33,2022-08-01 02:58:51
Stem Rot,Nutrient Deficiency,Use proper sanitation practices,0.64,/user/user/document/image_199.jpg,2023-08-01 05:20:06,2022-06-24 04:48:12
Black Rot,Environmental Stress,Apply neem oil,0.94,/user/user/document/image_124.jpg,2022-04-28 23:49:22,2023-12-18 01:38:31
Rhizoctonia Root Rot,Poor Drainage,Apply neem oil,0.74,/user/user/document/image_635.jpg,2022-12-09 11:13:58,2023-06-01 15:15:00
Bacterial Canker,Chemical Damage,Use resistant varieties,1.0,/user/user/document/image_570.jpg,2024-02-06 10:55:56,2023-09-28 02:18:37
Black Knot,Pests,Improve soil drainage,0.67,/user/user/document/image_649.jpg,2024-01-25 10:01:55,2023-10-20 22:40:17
Corky Root Rot,Nutrient Deficiency,Apply neem oil,0.84,/user/user/document/image_397.jpg,2023-02-24 17:00:32,2023-12-13 16:38:03
Bean Common Mosaic Virus,Poor Drainage,Use fungicide,0.57,/user/user/document/image_478.jpg,2023-02-28 10:24:29,2022-06-18 00:46:18
Late Blight,Bacterial Infection,Adjust watering schedule,0.76,/user/user/document/image_101.jpg,2024-02-04 12:48:08,2023-11-13 11:39:39
Zinc Deficiency,Poor Drainage,Use proper sanitation practices,0.57,/user/user/document/image_350.jpg,2023-04-14 08:10:19,2023-11-28 08:34:15
Ascochyta Blight,Poor Drainage,Control pests,0.65,/user/user/document/image_643.jpg,2023-08-24 17:41:29,2022-04-23 00:45:12
Rust,Viral Infection,Apply neem oil,0.53,/user/user/document/image_881.jpg,2023-06-12 08:50:38,2023-10-07 04:11:05
Clubroot,Poor Drainage,Provide adequate nutrition,0.85,/user/user/document/image_498.jpg,2022-07-06 23:19:03,2022-09-12 23:06:39
Fusarium Wilt,Fungal Infection,Apply bactericide,0.61,/user/user/document/image_345.jpg,2024-01-23 22:42:53,2022-05-13 13:20:27
Bacterial Speck,Poor Drainage,Apply neem oil,0.87,/user/user/document/image_794.jpg,2024-04-28 18:56:00,2022-08-09 15:50:58
Root Knot Nematode,Chemical Damage,Use proper sanitation practices,0.6,/user/user/document/image_602.jpg,2023-10-25 19:42:15,2023-04-10 02:38:21
Sooty Mold,Pests,Adjust watering schedule,0.59,/user/user/document/image_23.jpg,2022-08-08 04:33:30,2022-07-26 19:58:57
Stem Rot,Poor Drainage,Provide adequate nutrition,0.98,/user/user/document/image_665.jpg,2022-06-04 12:39:52,2022-10-26 01:44:35
Cabbage Yellows,Viral Infection,Control pests,0.55,/user/user/document/image_273.jpg,2022-08-10 15:36:18,2024-04-06 01:54:09
Leaf Spot,Pests,Adjust watering schedule,0.85,/user/user/document/image_921.jpg,2024-02-25 19:42:30,2023-10-11 10:21:25
Halo Blight,Bacterial Infection,Use fungicide,0.96,/user/user/document/image_812.jpg,2022-08-27 12:58:31,2023-08-09 19:58:44
Eggplant Verticillium Wilt,Bacterial Infection,Apply neem oil,0.86,/user/user/document/image_843.jpg,2022-12-29 17:39:08,2022-12-09 10:36:15
Bean Common Mosaic Virus,Bacterial Infection,Apply neem oil,0.65,/user/user/document/image_598.jpg,2022-12-11 18:30:47,2022-01-20 10:03:51
Dutch Elm Disease,Poor Drainage,Adjust watering schedule,0.69,/user/user/document/image_62.jpg,2022-02-19 05:30:31,2023-10-29 17:29:54
Huanglongbing,Bacterial Infection,Use proper sanitation practices,0.55,/user/user/document/image_738.jpg,2022-05-05 09:45:39,2022-10-22 23:57:54
Citrus Greening,Chemical Damage,Improve soil drainage,0.57,/user/user/document/image_913.jpg,2023-11-24 12:52:13,2023-03-17 14:16:32
Yellow Leaf Curl Virus,Bacterial Infection,Adjust watering schedule,0.72,/user/user/document/image_780.jpg,2023-03-17 12:44:16,2024-04-30 23:18:05
Pink Root,Chemical Damage,Use resistant varieties,0.7,/user/user/document/image_647.jpg,2023-02-10 04:40:04,2022-12-03 08:09:42
Leaf Blotch,Poor Drainage,Use resistant varieties,0.66,/user/user/document/image_359.jpg,2023-06-02 10:11:07,2023-09-16 02:33:30
Ergot,Environmental Stress,Use proper sanitation practices,0.62,/user/user/document/image_530.jpg,2023-03-28 18:56:57,2023-11-08 10:05:41
Bean Rust,Fungal Infection,Remove infected leaves,0.64,/user/user/document/image_869.jpg,2023-08-15 01:23:30,2024-01-06 06:56:29
Wheat Leaf Rust,Environmental Stress,Improve soil drainage,0.9,/user/user/document/image_937.jpg,2023-06-27 12:07:20,2023-07-10 21:15:27
Bacterial Canker,Nutrient Deficiency,Remove infected leaves,0.85,/user/user/document/image_193.jpg,2023-06-09 16:07:49,2022-03-07 12:29:24
Bean Rust,Poor Drainage,Control pests,0.69,/user/user/document/image_985.jpg,2023-10-10 03:12:51,2024-04-19 15:10:38
Black Spot,Environmental Stress,Provide adequate nutrition,0.52,/user/user/document/image_744.jpg,2023-06-14 11:57:17,2024-05-14 09:47:08
Stem Rust,Chemical Damage,Control pests,0.65,/user/user/document/image_230.jpg,2022-01-23 06:46:28,2023-04-05 18:06:22
Pythium Root Rot,Chemical Damage,Control pests,0.75,/user/user/document/image_255.jpg,2022-10-08 18:39:48,2023-04-23 21:05:24
Anthracnose Fruit Rot,Poor Drainage,Apply neem oil,0.7,/user/user/document/image_276.jpg,2023-03-08 09:16:26,2024-04-16 03:22:42
Sclerotinia Stem Rot,Environmental Stress,Remove infected leaves,0.73,/user/user/document/image_688.jpg,2024-04-03 17:05:44,2022-10-29 22:37:10
Impatiens Necrotic Spot Virus,Poor Drainage,Provide adequate nutrition,0.63,/user/user/document/image_640.jpg,2022-03-25 11:50:41,2023-08-16 01:48:28
Ascochyta Blight,Environmental Stress,Apply neem oil,0.81,/user/user/document/image_384.jpg,2023-01-24 04:08:10,2022-04-27 19:42:53
Verticillium Wilt,Viral Infection,Provide adequate nutrition,0.77,/user/user/document/image_319.jpg,2022-08-29 23:11:43,2022-01-20 01:36:09
Leaf Rust,Viral Infection,Apply neem oil,0.9,/user/user/document/image_65.jpg,2022-07-25 04:54:18,2024-05-12 07:06:04
Yellow Leaf Curl Virus,Poor Drainage,Use resistant varieties,0.89,/user/user/document/image_841.jpg,2023-04-28 18:37:42,2023-04-22 18:06:21
Blossom End Rot,Chemical Damage,Improve soil drainage,0.65,/user/user/document/image_7.jpg,2022-09-14 07:53:57,2022-01-26 13:27:29
Powdery Mildew,Fungal Infection,Provide adequate nutrition,0.72,/user/user/document/image_981.jpg,2023-05-04 16:57:21,2023-03-08 03:27:54
Peach Leaf Curl,Fungal Infection,Use proper sanitation practices,0.6,/user/user/document/image_399.jpg,2022-12-21 06:21:17,2022-10-30 03:46:07
Common Rust,Bacterial Infection,Provide adequate nutrition,0.6,/user/user/document/image_712.jpg,2022-10-29 12:45:14,2022-12-19 06:25:26
Anthracnose,Environmental Stress,Use resistant varieties,0.74,/user/user/document/image_156.jpg,2022-01-02 05:09:12,2023-03-03 23:27:53
Gummy Stem Blight,Chemical Damage,Provide adequate nutrition,0.75,/user/user/document/image_363.jpg,2022-04-16 01:16:56,2024-01-21 21:52:53
Nematode Damage,Environmental Stress,Use resistant varieties,0.63,/user/user/document/image_56.jpg,2023-10-08 00:55:26,2023-10-14 18:02:26
Citrus Greening,Chemical Damage,Use fungicide,0.52,/user/user/document/image_752.jpg,2022-06-06 19:55:37,2023-07-22 12:44:06
Armillaria Root Rot,Chemical Damage,Improve soil drainage,0.68,/user/user/document/image_837.jpg,2023-09-25 00:23:59,2022-01-04 07:19:59
Sclerotinia Stem Rot,Nutrient Deficiency,Use resistant varieties,0.65,/user/user/document/image_604.jpg,2022-10-04 10:11:12,2023-08-05 11:55:49
Gray Mold,Viral Infection,Use proper sanitation practices,0.94,/user/user/document/image_489.jpg,2023-01-06 02:47:14,2024-04-08 01:55:41
Verticillium Wilt,Nutrient Deficiency,Use proper sanitation practices,0.86,/user/user/document/image_710.jpg,2023-03-03 21:13:43,2023-02-18 19:07:59
Leaf Curl,Fungal Infection,Remove infected leaves,0.72,/user/user/document/image_384.jpg,2022-06-15 12:46:39,2022-06-01 18:23:55
Zinc Deficiency,Pests,Use proper sanitation practices,0.7,/user/user/document/image_318.jpg,2022-03-01 23:56:26,2023-12-06 11:31:04
Anthracnose,Environmental Stress,Apply bactericide,0.83,/user/user/document/image_763.jpg,2023-04-11 13:12:41,2022-07-11 02:44:43
Bean Common Mosaic Virus,Chemical Damage,Use resistant varieties,0.6,/user/user/document/image_231.jpg,2023-01-11 17:16:07,2023-11-17 17:53:20
Bacterial Wilt,Pests,Use fungicide,0.76,/user/user/document/image_826.jpg,2022-11-07 07:52:58,2023-10-12 06:45:20
Bacterial Streak,Environmental Stress,Provide adequate nutrition,0.8,/user/user/document/image_365.jpg,2024-02-29 14:56:09,2022-12-07 05:43:15
Needle Blight,Poor Drainage,Improve soil drainage,0.82,/user/user/document/image_189.jpg,2022-12-30 03:42:18,2023-12-04 02:00:39
Pepper Anthracnose,Poor Drainage,Remove infected leaves,0.68,/user/user/document/image_576.jpg,2023-10-31 11:12:59,2023-01-20 03:12:03
Fire Blight,Environmental Stress,Apply neem oil,0.52,/user/user/document/image_655.jpg,2022-01-20 00:04:25,2024-03-21 15:07:22
Dutch Elm Disease,Chemical Damage,Use resistant varieties,0.58,/user/user/document/image_859.jpg,2022-09-07 10:31:39,2024-03-14 20:12:46
Cucumber Mosaic Virus,Bacterial Infection,Control pests,0.7,/user/user/document/image_504.jpg,2023-04-02 15:36:42,2024-02-14 05:51:59
Maize Dwarf Mosaic Virus,Pests,Control pests,0.87,/user/user/document/image_771.jpg,2022-01-13 02:41:26,2022-10-04 06:21:31
Common Rust,Poor Drainage,Apply bactericide,0.97,/user/user/document/image_376.jpg,2023-08-28 16:04:38,2024-03-09 00:51:30
Rice Blast,Chemical Damage,Use proper sanitation practices,0.85,/user/user/document/image_795.jpg,2023-11-19 00:56:58,2022-08-22 17:23:50
Pythium Root Rot,Poor Drainage,Remove infected leaves,0.67,/user/user/document/image_859.jpg,2022-04-07 20:05:53,2023-04-15 17:55:33
Verticillium Wilt,Viral Infection,Apply neem oil,0.67,/user/user/document/image_938.jpg,2023-08-08 09:14:45,2023-09-07 06:57:18
Bacterial Spot,Nutrient Deficiency,Use fungicide,0.9,/user/user/document/image_620.jpg,2023-06-21 02:44:15,2023-01-16 04:07:11
Phytophthora Blight,Chemical Damage,Provide adequate nutrition,0.69,/user/user/document/image_839.jpg,2022-08-05 11:14:22,2022-01-12 17:20:37
Anthracnose Fruit Rot,Nutrient Deficiency,Control pests,0.57,/user/user/document/image_936.jpg,2024-02-07 20:28:42,2022-02-28 13:49:55
Hydrangea Rust,Bacterial Infection,Use fungicide,0.97,/user/user/document/image_789.jpg,2023-10-23 04:57:55,2023-09-21 23:45:26
Scab,Poor Drainage,Adjust watering schedule,0.59,/user/user/document/image_452.jpg,2023-08-18 20:32:25,2022-08-29 01:19:04
Black Rot,Bacterial Infection,Provide adequate nutrition,0.64,/user/user/document/image_920.jpg,2022-01-24 00:42:11,2022-09-05 15:46:48
Yellow Leaf Curl Virus,Pests,Apply neem oil,0.7,/user/user/document/image_387.jpg,2023-10-02 08:51:40,2022-01-21 17:48:35
Wheat Leaf Rust,Pests,Improve soil drainage,0.81,/user/user/document/image_69.jpg,2023-06-05 18:40:57,2022-06-12 20:09:40
Squash Mosaic Virus,Bacterial Infection,Improve soil drainage,0.73,/user/user/document/image_375.jpg,2023-10-27 03:57:21,2022-12-06 21:41:48
Common Rust,Poor Drainage,Use proper sanitation practices,0.54,/user/user/document/image_304.jpg,2022-07-25 20:28:04,2022-09-16 17:05:47
Leaf Curl,Nutrient Deficiency,Control pests,0.55,/user/user/document/image_159.jpg,2023-07-21 05:40:40,2022-01-14 06:24:16
Halo Blight,Chemical Damage,Apply neem oil,0.96,/user/user/document/image_821.jpg,2022-04-17 21:07:38,2022-02-24 22:55:51
Southern Blight,Bacterial Infection,Improve soil drainage,0.75,/user/user/document/image_251.jpg,2023-10-10 17:03:09,2023-09-19 04:42:37
Early Blight,Environmental Stress,Apply neem oil,0.94,/user/user/document/image_217.jpg,2023-12-19 19:51:51,2024-02-16 12:44:17
Fusarium Wilt,Pests,Apply bactericide,0.94,/user/user/document/image_55.jpg,2022-01-01 00:08:03,2022-07-04 02:16:11
Blossom End Rot,Poor Drainage,Apply bactericide,0.82,/user/user/document/image_982.jpg,2024-05-14 00:56:30,2022-02-12 23:18:41
Corn Smut,Environmental Stress,Use resistant varieties,0.76,/user/user/document/image_459.jpg,2022-08-16 15:13:18,2024-05-04 01:48:31
Leaf Spot,Poor Drainage,Use proper sanitation practices,0.95,/user/user/document/image_343.jpg,2024-04-07 11:51:08,2023-05-21 04:30:14
Phytophthora Blight,Chemical Damage,Use proper sanitation practices,0.67,/user/user/document/image_913.jpg,2023-05-29 17:16:24,2024-03-06 19:19:13
Needle Blight,Environmental Stress,Remove infected leaves,0.72,/user/user/document/image_258.jpg,2022-05-20 15:05:41,2022-10-19 19:18:49
Angular Leaf Spot,Fungal Infection,Control pests,0.7,/user/user/document/image_56.jpg,2022-04-14 23:42:09,2022-07-10 08:40:23
Yellow Leaf Curl Virus,Fungal Infection,Use resistant varieties,0.87,/user/user/document/image_878.jpg,2023-11-25 13:23:23,2022-01-09 20:34:32
Mosaic Virus,Nutrient Deficiency,Use resistant varieties,0.96,/user/user/document/image_777.jpg,2023-05-11 23:00:09,2022-09-09 15:59:55
Squash Mosaic Virus,Bacterial Infection,Use fungicide,0.72,/user/user/document/image_736.jpg,2024-03-06 09:14:18,2024-03-23 13:21:20
Bacterial Streak,Viral Infection,Use fungicide,0.92,/user/user/document/image_601.jpg,2023-11-02 02:07:10,2022-11-19 17:07:52
Common Rust,Bacterial Infection,Control pests,0.53,/user/user/document/image_902.jpg,2024-02-18 10:18:38,2023-03-23 04:24:12
Alternaria Leaf Spot,Chemical Damage,Use fungicide,0.7,/user/user/document/image_648.jpg,2022-04-08 19:29:01,2022-03-01 20:11:40
Sooty Mold,Bacterial Infection,Remove infected leaves,0.58,/user/user/document/image_522.jpg,2023-07-17 13:29:20,2022-04-12 18:15:14
Leaf Spot,Viral Infection,Use fungicide,0.69,/user/user/document/image_933.jpg,2022-07-23 12:31:25,2022-05-28 05:10:57
Pepper Anthracnose,Viral Infection,Use proper sanitation practices,0.92,/user/user/document/image_206.jpg,2024-04-22 04:53:28,2024-05-01 17:48:08
Early Blight,Nutrient Deficiency,Use resistant varieties,0.91,/user/user/document/image_243.jpg,2022-04-26 22:36:27,2023-04-19 09:30:59
Cotton Root Rot,Poor Drainage,Provide adequate nutrition,0.57,/user/user/document/image_597.jpg,2023-06-28 03:54:33,2022-07-13 22:21:15
Clubroot,Chemical Damage,Apply neem oil,0.6,/user/user/document/image_676.jpg,2023-07-11 11:59:59,2022-11-24 18:29:09
Tomato Spotted Wilt Virus,Fungal Infection,Provide adequate nutrition,0.79,/user/user/document/image_534.jpg,2023-06-16 16:43:32,2022-10-02 10:58:26
Pythium Root Rot,Viral Infection,Remove infected leaves,0.53,/user/user/document/image_45.jpg,2023-12-07 19:26:27,2023-01-08 21:46:36
Spinach Downy Mildew,Nutrient Deficiency,Use fungicide,0.54,/user/user/document/image_642.jpg,2023-01-11 12:02:45,2023-06-14 06:25:10
Wheat Leaf Rust,Fungal Infection,Control pests,0.97,/user/user/document/image_576.jpg,2024-03-05 21:23:32,2024-05-04 17:41:02
Citrus Greening,Chemical Damage,Remove infected leaves,0.62,/user/user/document/image_578.jpg,2022-05-04 17:06:47,2023-02-09 02:35:30
Onion Downy Mildew,Nutrient Deficiency,Remove infected leaves,0.75,/user/user/document/image_887.jpg,2022-11-02 13:45:54,2022-11-22 08:20:48
Phomopsis Blight,Viral Infection,Apply bactericide,0.97,/user/user/document/image_477.jpg,2022-08-05 19:18:30,2022-06-23 13:38:25
Powdery Mildew,Poor Drainage,Provide adequate nutrition,0.83,/user/user/document/image_846.jpg,2023-01-04 17:15:17,2022-11-11 23:42:27
Squash Mosaic Virus,Environmental Stress,Use fungicide,0.81,/user/user/document/image_387.jpg,2023-07-05 07:57:12,2023-06-09 05:07:23
Melon Necrotic Spot Virus,Environmental Stress,Use proper sanitation practices,0.93,/user/user/document/image_948.jpg,2023-12-11 14:54:25,2023-12-19 07:15:44
Tomato Spotted Wilt Virus,Chemical Damage,Provide adequate nutrition,0.78,/user/user/document/image_490.jpg,2022-03-09 20:09:57,2023-01-16 23:22:56
Tobacco Mosaic Virus,Environmental Stress,Provide adequate nutrition,0.5,/user/user/document/image_32.jpg,2023-04-08 16:21:33,2022-03-02 20:00:31
Bacterial Canker,Nutrient Deficiency,Improve soil drainage,0.66,/user/user/document/image_339.jpg,2022-09-09 06:22:46,2022-05-10 22:41:05
Cabbage Yellows,Viral Infection,Provide adequate nutrition,0.8,/user/user/document/image_39.jpg,2022-05-10 01:38:57,2023-11-13 23:00:27
Potato Scab,Viral Infection,Adjust watering schedule,0.7,/user/user/document/image_525.jpg,2022-06-28 21:12:39,2022-04-09 21:34:37
Tobacco Mosaic Virus,Poor Drainage,Remove infected leaves,0.77,/user/user/document/image_592.jpg,2022-07-29 00:25:31,2022-08-09 04:48:20
Ascochyta Blight,Poor Drainage,Apply bactericide,0.98,/user/user/document/image_867.jpg,2022-04-30 07:12:42,2023-04-24 06:51:33
Stem Rust,Viral Infection,Adjust watering schedule,0.77,/user/user/document/image_932.jpg,2023-04-02 00:55:33,2023-07-16 07:56:38
Ascochyta Blight,Poor Drainage,Control pests,0.71,/user/user/document/image_227.jpg,2022-12-05 17:36:34,2022-04-30 05:50:28
Halo Blight,Nutrient Deficiency,Use proper sanitation practices,0.68,/user/user/document/image_685.jpg,2023-10-22 04:25:00,2023-01-07 03:49:27
Yellow Leaf Curl Virus,Pests,Improve soil drainage,0.77,/user/user/document/image_148.jpg,2022-02-04 03:27:53,2024-02-15 11:21:46
Nematode Damage,Pests,Use resistant varieties,0.67,/user/user/document/image_142.jpg,2022-10-31 09:17:41,2023-04-11 09:43:28
Basal Stem Rot,Pests,Apply bactericide,0.72,/user/user/document/image_350.jpg,2023-11-26 09:15:15,2024-01-02 20:55:41
Phomopsis Blight,Nutrient Deficiency,Apply bactericide,0.61,/user/user/document/image_749.jpg,2023-11-08 21:43:39,2023-05-01 21:46:51
Gray Leaf Spot,Environmental Stress,Apply bactericide,0.52,/user/user/document/image_208.jpg,2024-01-25 10:15:55,2022-02-02 04:16:32
Brown Rot,Fungal Infection,Use proper sanitation practices,0.6,/user/user/document/image_701.jpg,2023-04-17 16:30:33,2022-12-12 16:39:04
Fire Blight,Pests,Apply neem oil,0.59,/user/user/document/image_411.jpg,2023-11-29 21:32:15,2022-05-07 21:30:12
Black Root Rot,Pests,Improve soil drainage,0.56,/user/user/document/image_628.jpg,2022-10-04 20:58:21,2023-09-08 10:16:21
Needle Blight,Nutrient Deficiency,Control pests,0.95,/user/user/document/image_319.jpg,2022-03-28 13:11:39,2023-12-04 17:49:52
Early Blight,Poor Drainage,Apply neem oil,0.55,/user/user/document/image_597.jpg,2024-03-18 11:38:16,2024-01-16 11:17:04
Citrus Canker,Bacterial Infection,Adjust watering schedule,0.82,/user/user/document/image_909.jpg,2023-01-10 21:42:05,2022-05-20 23:28:23
Pepper Anthracnose,Nutrient Deficiency,Use resistant varieties,0.58,/user/user/document/image_944.jpg,2023-07-23 20:35:14,2024-03-30 05:13:50
Black Heart,Environmental Stress,Apply bactericide,0.89,/user/user/document/image_518.jpg,2022-08-19 07:24:30,2022-07-10 18:25:44
Cotton Root Rot,Pests,Adjust watering schedule,0.96,/user/user/document/image_400.jpg,2024-04-12 07:02:54,2022-01-02 18:33:03
Early Blight,Fungal Infection,Use resistant varieties,0.63,/user/user/document/image_894.jpg,2023-08-28 19:53:57,2023-09-03 08:15:16
Citrus Canker,Poor Drainage,Provide adequate nutrition,0.99,/user/user/document/image_233.jpg,2022-02-04 13:41:02,2024-01-15 20:04:23
Gray Leaf Spot,Chemical Damage,Improve soil drainage,0.8,/user/user/document/image_85.jpg,2022-03-29 18:35:23,2022-06-28 18:49:31
Root Knot Nematode,Environmental Stress,Provide adequate nutrition,0.52,/user/user/document/image_928.jpg,2022-08-08 15:26:53,2022-04-23 03:25:39
Downy Mildew,Viral Infection,Adjust watering schedule,0.66,/user/user/document/image_556.jpg,2023-12-03 06:31:52,2022-01-20 18:48:59
White Mold,Environmental Stress,Remove infected leaves,0.83,/user/user/document/image_531.jpg,2023-11-03 03:22:57,2023-11-19 06:24:18
Black Rot,Environmental Stress,Apply neem oil,0.69,/user/user/document/image_284.jpg,2023-09-18 20:38:49,2023-11-08 07:09:37
Gummy Stem Blight,Environmental Stress,Improve soil drainage,0.9,/user/user/document/image_343.jpg,2022-03-16 07:08:49,2023-06-03 18:47:57
Stemphylium Leaf Spot,Chemical Damage,Remove infected leaves,0.84,/user/user/document/image_14.jpg,2022-03-01 21:16:17,2023-06-12 21:48:36
Citrus Canker,Fungal Infection,Use proper sanitation practices,0.97,/user/user/document/image_890.jpg,2022-01-14 04:20:32,2022-07-24 15:38:18
Spinach Downy Mildew,Bacterial Infection,Use fungicide,0.59,/user/user/document/image_568.jpg,2024-02-25 19:06:38,2022-04-17 05:41:40
Black Spot,Poor Drainage,Remove infected leaves,0.82,/user/user/document/image_59.jpg,2022-06-26 05:49:18,2022-11-22 00:32:03
Maize Dwarf Mosaic Virus,Bacterial Infection,Adjust watering schedule,0.68,/user/user/document/image_398.jpg,2023-12-07 01:26:04,2022-11-08 03:32:49
Septoria Leaf Spot,Pests,Use resistant varieties,0.88,/user/user/document/image_332.jpg,2022-12-10 21:24:25,2023-08-29 18:45:43
Cotton Root Rot,Nutrient Deficiency,Use fungicide,0.86,/user/user/document/image_886.jpg,2024-03-10 12:00:25,2024-04-09 08:57:35
Peach Leaf Curl,Bacterial Infection,Improve soil drainage,0.76,/user/user/document/image_24.jpg,2022-03-22 11:20:03,2023-07-21 19:07:49
Leaf Scorch,Poor Drainage,Control pests,0.92,/user/user/document/image_992.jpg,2023-11-27 01:07:06,2023-11-11 03:59:31
Downy Mildew,Viral Infection,Adjust watering schedule,0.79,/user/user/document/image_690.jpg,2023-09-09 16:37:14,2022-12-10 18:06:17
Citrus Canker,Viral Infection,Control pests,0.76,/user/user/document/image_480.jpg,2024-03-27 16:29:47,2024-02-11 21:41:05
Gray Mold,Pests,Control pests,0.75,/user/user/document/image_789.jpg,2023-04-27 05:55:15,2023-06-16 11:36:16
Ergot,Fungal Infection,Improve soil drainage,0.95,/user/user/document/image_271.jpg,2022-11-28 19:51:31,2023-03-25 07:06:08
Pink Root,Viral Infection,Use proper sanitation practices,0.97,/user/user/document/image_738.jpg,2023-11-14 23:13:51,2022-12-23 22:34:18
Phytophthora Blight,Environmental Stress,Remove infected leaves,0.97,/user/user/document/image_891.jpg,2023-03-09 03:20:44,2022-11-23 22:17:07
Canker,Bacterial Infection,Use fungicide,0.94,/user/user/document/image_956.jpg,2023-12-30 09:34:16,2023-05-01 06:58:00
Cotton Root Rot,Viral Infection,Provide adequate nutrition,0.56,/user/user/document/image_939.jpg,2024-03-20 15:16:07,2023-09-24 08:42:52
Botrytis Blight,Viral Infection,Control pests,0.74,/user/user/document/image_749.jpg,2022-04-13 16:05:44,2022-11-19 19:35:14
Angular Leaf Spot,Pests,Use fungicide,0.64,/user/user/document/image_588.jpg,2023-06-23 05:56:23,2024-04-23 22:18:48
White Rust,Chemical Damage,Remove infected leaves,0.56,/user/user/document/image_81.jpg,2022-01-13 22:12:06,2024-02-15 20:44:36
